C4,,,,,,,,,,,,,,,,,,,,,,
Spit,3mm Total,7mm+plotted total,Total Artefacts,Qtztite,Qtz,Crystal Qtz,Silcrete,Rare Quartzite (Brown and Dark Grey),Buff and Red Mudstone,Fine Qtzite,Chert,Volcanic,Mica,Glass,Gerowie Tuff,Thinning Flakes,Retouched,Points,Cores,Bipolar,Axe Flakes,Grindstones and Fragments
1,31,3,34,1,28,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0
2,37,9,46,6,26,8,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3,131,9,140,6,111,17,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0
4,102,10,112,12,57,24,0,2,0,14,0,0,0,0,5,2,0,0,0,1,0,0
5,37,1,38,4,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,39,3,42,3,28,7,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0
7,117,14,131,25,82,9,1,0,0,7,3,1,0,0,0,4,0,0,0,0,1,0
8,112,22,134,30,78,16,0,0,0,0,4,0,1,0,1,2,0,1,0,0,0,1
9,61,11,72,4,49,7,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
10,74,8,82,15,58,5,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0
11,188,23,211,9,183,17,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
12,227,17,244,2,217,21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
13,357,22,379,2,335,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,273,23,296,5,244,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,446,20,466,5,428,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,315,14,329,4,312,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
17,174,0,174,1,138,28,0,0,0,4,2,0,0,0,0,0,0,0,0,4,0,0
18,101,21,122,2,111,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
19,318,1,319,1,237,73,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0
20,151,16,167,2,150,13,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
21,152,7,159,6,143,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
22,96,9,105,2,89,6,4,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
23,209,18,227,4,210,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
24,226,9,235,2,201,16,2,0,0,2,12,2,0,0,0,0,0,0,0,0,0,0
25,223,4,227,12,164,15,0,1,0,5,8,5,2,0,0,0,0,0,0,0,0,0
26,270,14,284,7,229,20,1,0,0,0,17,9,2,0,0,0,0,0,0,0,0,0
27,146,29,175,2,124,24,0,2,0,2,11,10,1,0,0,0,0,0,0,0,0,0
28,103,20,123,3,65,45,7,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0
29,136,15,151,3,88,37,2,0,3,1,7,0,19,0,0,0,0,0,0,0,0,0
30,344,19,363,5,190,125,1,0,0,0,6,32,2,0,0,0,0,0,0,0,1,0
31,187,35,222,1,165,45,3,0,0,1,5,7,0,0,0,0,0,0,0,0,1,0
32,262,27,289,5,184,81,0,0,1,5,5,3,0,0,0,0,0,0,0,0,0,0
33,224,27,251,2,180,46,1,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0
34,164,18,182,3,124,55,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
35,234,27,261,1,167,79,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0
36,180,18,198,1,153,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,232,28,260,3,194,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
38,178,12,190,3,138,41,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
39,257,20,277,5,193,71,1,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0
40,278,32,310,5,211,77,0,3,0,1,5,7,0,0,0,0,0,0,0,0,0,0
41,98,16,114,7,90,16,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
42,155,14,169,6,129,31,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
43,76,4,80,4,40,28,1,0,1,0,3,5,0,0,0,0,0,0,0,0,0,2
44,122,15,137,8,106,15,4,0,0,4,10,1,0,0,0,0,0,0,0,1,1,0
45,154,12,166,14,64,40,10,3,0,7,25,13,0,0,0,2,0,0,0,0,4,0
46,121,30,151,12,47,23,14,3,2,6,30,1,3,0,0,5,0,0,0,1,1,0
47,249,71,320,50,119,54,40,5,2,15,19,9,0,0,0,2,0,0,0,0,1,0
48,443,160,603,55,172,120,44,21,16,32,29,21,35,0,0,3,0,0,0,0,0,0
49,236,55,291,33,77,58,47,14,12,21,11,13,14,0,0,3,0,0,1,0,0,1
50,289,76,365,40,107,55,64,13,14,15,10,19,5,0,0,13,0,0,0,0,0,0
51,321,73,394,25,136,66,49,9,25,27,12,4,1,0,0,9,1,0,1,0,0,0
52,369,47,416,34,107,83,20,6,22,30,17,13,11,0,0,13,0,0,0,0,1,0
53,134,28,162,19,53,46,15,2,3,2,3,0,7,0,0,14,0,0,0,0,0,2
54,106,26,132,8,71,15,4,7,0,2,2,1,1,0,0,7,0,0,0,0,0,0
SF57,15,18,33,4,12,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
55,3,2,5,3,2,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,1
56,6,2,8,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7,0,7,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,3,5,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,11,8,19,4,9,3,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
61,10,4,14,4,4,2,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
62,9,0,9,3,2,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
63,2,12,14,2,7,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
64,15,12,27,7,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,9,0,9,3,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,4,0,4,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6,0,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,5,0,5,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
